etat,matiere,couleur,date,prix,prix_total,categorie,pays,likes,collection
Très bon état,,Bleu clair,Il y a 3 heures,"8,00 €","8,91 €",Jeans,"Paris, France",21,femme
Très bon état,,Bleu clair,Il y a 3 heures,"8,00 €","9,10 €",Jeans,"Paris, France",26,femme
Très bon état,,Bleu clair,Il y a 3 heures,"8,00 €","9,10 €",Jeans,"Paris, France",27,femme
Neuf sans étiquette,,Bleu clair,Il y a une heure,"3,00 €","3,85 €",Jeans,,16,femme
Très bon état,,Gris,Il y a 13 heures,"5,00 €","5,95 €",Jeans,"Vergèze, France",73,femme
Très bon état,,Rouge,Il y a 42 minutes,"30,00 €","32,20 €",Robes,,1,femme
Très bon état,,Gris,Il y a une heure,"6,00 €","7,00 €",Vêtements de sport,,14,femme
Neuf avec étiquette,,Bleu clair,Il y a 7 heures,"20,00 €","21,75 €",Robes,,21,femme
Très bon état,,Noir,Il y a une heure,"2,50 €","3,33 €",Hauts et t-shirts,,16,femme
Très bon état,,"Rouge, Blanc",Il y a 2 heures,"20,00 €","21,70 €",Robes,"Dublin, D, Irlande",1,femme
Bon état,,"Marine, Crème",Il y a 2 heures,"8,00 €","8,91 €",Combinaisons et combishorts,"Marseille 07, France",19,femme
Très bon état,,Noir,Il y a 9 heures,"10,00 €","11,20 €",Hauts et t-shirts,"Lavaur, France",2,femme
Très bon état,Polyester,Kaki,Il y a 5 heures,"10,00 €","11,20 €",Autres,"Mondeville, France",26,femme
Très bon état,,Blanc,Il y a 3 heures,"6,00 €","7,00 €",Robes,,20,femme
Neuf sans étiquette,,Gris,Il y a un jour,"45,00 €","47,95 €",Blazers et tailleurs,,97,femme
Neuf sans étiquette,,Bleu clair,Il y a 2 heures,"12,00 €","13,19 €",Combinaisons et combishorts,,46,femme
Très bon état,,"Noir, Multicolore",Il y a 3 heures,"20,00 €","21,75 €",Robes,"Dublin, D, Irlande",,femme
Neuf sans étiquette,,Gris,Il y a un jour,"5,00 €","5,53 €",Pantalons et leggings,"Ligny-en-Barrois, France",27,femme
Très bon état,,"Multicolore, Crème",Il y a une heure,"6,00 €","6,77 €",Hauts et t-shirts,,11,femme
Neuf sans étiquette,,Noir,Il y a 2 heures,"25,00 €","26,95 €",Robes,"Bordeaux, France",,femme
Très bon état,,Marine,Il y a un jour,"6,00 €","7,00 €",Jeans,"Asnières-sur-Seine, France",15,femme
Neuf avec étiquette,,Jaune,Il y a 6 heures,"18,00 €","19,61 €",Robes,,112,femme
Neuf sans étiquette,,Blanc,Il y a une heure,"35,00 €","37,80 €",Sacs,,85,femme
Neuf sans étiquette,,Multicolore,Il y a 11 heures,"10,00 €","10,95 €",Robes,,32,femme
Neuf sans étiquette,,Kaki,Il y a un jour,"45,00 €","47,95 €",Blazers et tailleurs,,66,femme
Très bon état,"Velours côtelé, Velours",Violet,Il y a 5 heures,"5,00 €","5,95 €",Pantalons et leggings,"Paris, France",16,femme
Très bon état,Cuir,Marron,Il y a 11 heures,"65,00 €","68,95 €",Sacs,"Riedstadt, Allemagne",183,femme
Très bon état,Coton,"Orange, Fuchsia",Il y a 3 heures,"10,00 €","10,95 €",Robes,,57,femme
Très bon état,,Beige,Il y a 14 heures,"15,00 €","16,45 €",Blazers et tailleurs,,20,femme
Neuf sans étiquette,,Kaki,Il y a 5 heures,"8,00 €","9,10 €",Robes,"Toulouse, France",23,femme
Très bon état,,"Lila, Rose",Il y a 2 heures,"12,00 €","13,30 €",Robes,,39,femme
Très bon état,Polyester,Marine,Il y a 9 heures,"10,00 €","11,20 €",Jeans,"Paris, France",14,femme
Très bon état,,Bleu,Il y a 4 heures,"4,00 €","4,90 €",Shorts,France,13,femme
Très bon état,,Beige,Il y a 11 heures,"25,00 €","26,95 €",Manteaux et vestes,,44,femme
Neuf sans étiquette,,"Blanc, Doré",Il y a un jour,"6,20 €","7,21 €",Accessoires,"Rouen, France",34,femme
Très bon état,,Rouge,Il y a un jour,"15,00 €","16,40 €",Robes,,47,femme
Très bon état,,Blanc,Il y a 14 heures,"6,00 €","6,77 €",Chaussures,France,17,femme
Neuf sans étiquette,,Doré,Il y a 8 heures,"14,00 €","15,40 €",Accessoires,"La Voivre, France",13,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
,,,,,,,,,femme
Neuf sans étiquette,,Bleu,Il y a une heure,"3,00 €","3,36 €",Hauts et t-shirts,,7,femme
Très bon état,,"Moutarde, Marron",Il y a un jour,"20,00 €","21,70 €",Sacs,"Wattrelos, France",62,femme
